vocab,hanja,dict_mean
보강-하다,"[""補 기울 보"", ""强 굳셀 강""]","보태거나 채워서 본디보다 더 튼튼하게 하다.
"
보급-하다,"[""普 넓을 보"", ""及 미칠 급""]","널리 펴서 많은 사람들에게 골고루 미치게 하여 누리게 하다.
"
복상-사,"[""腹 배 복"", ""上 위 상"", ""死 죽을 사""]","성교 중에 동맥 경화증이나 심장 마비 따위로 여자의 배 위에서 죽음.
"
봉착-하다,"[""逢 만날 봉"", ""着 붙을 착""]","어떤 처지나 상태에 부닥치다.
"
부조-하다,"[""扶 도울 부"", ""助 도울 조""]","「1」잔칫집이나 상가(喪家) 따위에 돈이나 물건을 보내어 도와주다.
「2」남을 거들어서 도와주다.
"
부종,"[""浮 뜰 부"", ""腫 부을 종""]","몸이 붓는 증상. 심장병이나 콩팥병 또는 몸의 어느 한 부분의 혈액 순환 장애로 생긴다.
"
부흥-하다,"[""復 회복할 복"", ""興 일 흥""]","쇠퇴하였던 것이 다시 일어나다. 또는 그렇게 되게 하다.
"
분기,"[""分 나눌 분"", ""期 기약할 기""]","일 년을 4등분 한 3개월씩의 기간.
"
불가당-하다,"[""不 아닐 부"", ""可 옳을 가"", ""當 마땅 당""]","가히 당해 낼 수 없다.
"
불가사의-하다,"[""不可 생각할 수 없을 의""]","사람의 생각으로는 미루어 헤아릴 수 없이 이상하고 야릇하다.
"
불경-스럽다,"[""不 아닐 부"", ""敬 공경 경""]","경의를 표해야 할 자리에서 좀 무례한 데가 있다.
"
비방-하다,"[""誹 헐뜯을 비"", ""謗 헐뜯을 방""]","남을 비웃고 헐뜯어서 말하다.
"
비화,"[""飛 날 비"", ""花 꽃 화""]","바람에 흩날리며 떨어지는 꽃잎.
"
빈곤,"[""貧 가난할 빈"", ""困 곤궁할 곤""]","「1」가난하여 살기가 어려움.
「2」내용 따위가 충실하지 못하거나 모자라서 텅 빔.
"
사기,"[""史 역사 사"", ""記 기록할 기""]","역사적 사실을 기록한 책.
"
사기-그릇,"[""沙 모래 사"", ""器 그릇 기""]","고령토, 장석, 석영 따위의 가루를 빚어서 구워 만든, 희고 매끄러운 그릇. 또는 그 재료로 만든 물건.
"
사단^사령부,"[""師 군사 사"", ""團 둥글 단"", ""司 맡을 사"", ""令 하여금 령"", ""部 거느릴 부""]","사단을 지휘·통솔하는 구실을 하는 본부.
"
사-대부,"[""士 선비 사"", ""大 큰 대"", ""夫 지아비 부""]","「1」사(士)와 대부(大夫)를 아울러 이르는 말. 문무 양반(文武兩班)을 일반 평민층에 상대하여 이르는 말이다.
「2」벼슬이나 문벌이 높은 집안의 사람.
"
사대-주의,"[""事 일 사"", ""大 클 대"", ""主 주인 주"", ""義 옳을 의""]","주체성이 없이 세력이 강한 나라나 사람을 받들어 섬기는 태도.
"
사돈,"[""査 조사할 사"", ""頓 조아릴 돈""]","「1」남편의 부모와 아내의 부모 사이 또는 혼인한 두 집안의 같은 항렬이 되는 사람 사이에 서로 상대편을 이르는 말.
「2」혼인으로 맺어진 관계. 또는 혼인 관계로 척분(戚分)이 있는 사람.
"
사료-되다,"[""思 생각 사"", ""料 헤아릴 료""]","깊이 생각되어 헤아려지다.
"
사리-사욕,"[""私 사사로울 사"", ""利 날카로울 리"", ""私 사사로울 사"", ""慾 욕심 욕""]","사사로운 이익과 욕심.
"
사방-팔방,"[""四 넉 사"", ""方 모 방"", ""八 여덟 팔"", ""方 모 방""]","여기저기 모든 방향이나 방면.
"
사신,"[""使 하여금 사"", ""臣 신하 신""]","임금이나 국가의 명령을 받고 외국에 사절로 가는 신하.
"
사악-하다,"[""邪 간사할 사"", ""惡 악할 악""]","간사하고 악하다.
"
사업-하다,"[""事 일 사"", ""業 업 업""]","어떤 일을 일정한 목적과 계획을 가지고 짜임새 있게 지속적으로 경영하다.
"
사원,"[""寺 절 사"", ""院 집 원""]","「1」종교의 교당을 통틀어 이르는 말.
「2」승려가 불상을 모시고 불도(佛道)를 닦으며 교법을 펴는 집.
"
사유,"[""事 일 사"", ""由 말미암을 유""]","일의 까닭.
"
사절,"[""辭 말씀 사"", ""絕 끊을 절""]","사양하여 받지 아니함.
"
사정사정-하다,"[""事 일 사"", ""情 뜻 정""]","남에게 자신의 딱한 일의 형편이나 까닭을 간곡히 하소연하거나 빌다.
"
산란-하다,"[""産 낳을 산"", ""卵 알 란""]","알을 낳다.
"
산하,"[""傘 우산 산"", ""下 아래 하""]","어떤 조직체나 세력의 관할 아래.
"
상비-약,"[""常 항상 상"", ""備 갖출 비"", ""藥 약 약""]","병원이나 가정에 늘 준비해 두는 약품.
"
상사-병,"[""相 서로 상"", ""思 생각 사"", ""病 병 병""]","남자나 여자가 마음에 둔 사람을 몹시 그리워하는 데서 생기는 마음의 병.
"
상회,"[""常 항상 상"", ""會 모일 회""]","늘 일정한 때를 정하여 여는 모임.
"
서명-하다,"[""署 마을 서"", ""名 이름 명""]","자기의 이름을 써넣다.
"
선임-자,"[""先 먼저 선"", ""任 맡길 임"", ""者 놈 자""]","어떤 직무나 임무를 먼저 맡아 하던 사람.
"
선입-견,"[""先 먼저 선"", ""入 들 입"", ""見 볼 견""]","어떤 대상에 대하여 이미 마음속에 가지고 있는 고정적인 관념이나 관점.
"
선전^포고,"[""宣 베풀 선"", ""戰 싸움 전"", ""布 베 포"", ""告 고할 고""]","한 나라가 다른 나라에 대하여 전쟁을 시작한다는 것을 공식적으로 알리는 일.
"
설전,"[""舌 혀 설"", ""戰 싸움 전""]","말로 옳고 그름을 가리는 다툼.
"
섭외-하다,"[""涉 건널 섭"", ""外 바깥 외""]","「1」연락을 취하여 의논하다.
「2」어떤 법률 사항이 내외국(內外國)에 관계되고 연락이 되다.
"
성과-금,"[""成 이룰 성"", ""果 과실 과"", ""金 쇠 금""]","업무 성과에 따라 지급하는 상여금.
"
성대-모사,"[""聲 소리 성"", ""帶 띠 대"", ""模 본뜰 모"", ""寫 베낄 사""]","다른 사람의 목소리나 새, 짐승 따위의 소리를 흉내 내는 일을 비유적으로 이르는 말.
"
성명-하다,"[""聲 소리 성"", ""明 밝을 명""]","어떤 일에 대한 자기의 입장이나 견해 또는 방침 따위를 공개적으로 발표하다.
"
성묘,"[""省 살필 성"", ""墓 무덤 묘""]","조상의 산소를 찾아가서 돌봄. 또는 그런 일. 주로 설, 추석, 한식에 한다.
"
성미,"[""性 성품 성"", ""味 맛 미""]","성질, 마음씨, 비위, 버릇 따위를 통틀어 이르는 말.
"
성사-되다,"[""成 이룰 성"", ""事 일 사""]","일이 이루어지다.
"
세례-명,"[""洗 씻을 세"", ""禮 예도 례"", ""名 이름 명""]","세례 때에 붙는 이름. 성경에 나오는 인물이나 성인의 이름을 붙인다.
"
세습-하다,"[""世 인간 세"", ""襲 엄습할 습""]","한집안의 재산이나 신분, 직업 따위를 대대로 물려주고 물려받다.
"
세안-하다,"[""洗 씻을 세"", ""顔 얼굴 안""]","얼굴을 씻다.
"
소분-하다,"[""小 작을 소"", ""分 나눌 분""]","작게 나누다.
"
소송-하다,"[""訴 호소할 소"", ""訟 송사할 송""]","재판에 의하여 원고와 피고 사이의 권리나 의무 따위의 법률관계를 확정하여 줄 것을 법원에 요구하다. 민사, 형사, 행정, 선거 따위로 소송하는 일이 있다.
"
소신-껏,"[""所 바 소"", ""信 믿을 신""]","굳게 믿고 있는 바 또는 생각하는 바가 미치는 데까지.
"
소염,"[""消 사라질 소"", ""炎 불꽃 염""]","염증을 없앰.
"
소유-욕,"[""所有 가질 소"", ""欲 하고자 할 욕""]","자기 것으로 만들어 가지고 싶어 하는 욕망.
"
소음,"[""騷 떠들 소"", ""音 소리 음""]","불규칙하게 뒤섞여 불쾌하고 시끄러운 소리.
"
소작-농,"[""小 작을 소"", ""作 지을 작"", ""農 농사 농""]","일정한 소작료를 지급하며 다른 사람의 농지를 빌려 짓는 농사. 또는 그런 농민.
"
소장-품,"[""所 바 소"", ""藏 감출 장"", ""品 물건 품""]","자기의 것으로 지니어 간직하고 있는 물품.
"
소진-되다,"[""消 사라질 소"", ""盡 다할 진""]","점점 줄어들어 다 없어지다.
"
송어,"[""松 소나무 송"", ""魚 물고기 어""]","연어과의 바닷물고기. 몸의 길이는 60cm 정도이며, 등은 짙은 푸른색, 배는 은백색이다. 옆구리에 검은 밤색의 작은 점이 많고 눈알에 검은 반점이 흩어져 있다. 여름철 산란기에 강으로 올라와 알을 낳는데 한국, 일본 등지에 분포한다.
"
송연-하다,"[""悚 두려워할 송"", ""然 그러할 연""]","두려워 몸을 옹송그릴 정도로 오싹 소름이 끼치는 듯하다.
"
쇠강-하다,"[""衰 쇠할 쇠"", ""降 내릴 강""]","국력이나 문화, 도덕 또는 사람의 체질 따위가 점점 쇠하여지다.
"
수감-되다,"[""收 거둘 수"", ""監 볼 감""]","사람이 구치소나 교도소에 수용되다.
"
수배-하다,"[""手 손 수"", ""配 나눌 배""]","「1」어떤 일을 갈라 맡아서 하게 하다.
「2」범인을 잡으려고 수사망을 펴다.
"
수사^기관,"[""搜 찾을 수"", ""査 조사할 사"", ""機 틀 기"", ""關 관계할 관""]","범죄를 수사할 권한을 가진 국가 기관. 검찰, 사법 경찰 따위가 있다.
"
수혈-하다,"[""輸 보낼 수"", ""血 피 혈""]","빈혈이나 그 밖의 치료를 위하여, 건강한 사람의 혈액을 환자의 혈관 내에 주입하다. 외상(外傷) 또는 수술로 인한 실혈(失血)·위장 출혈·쇠약(衰弱)과 그 밖에 전염성 질환 따위의 경우에 하는데, 혈액형이 적합해야 한다.
"
순경,"[""巡 돌 순"", ""警 경계할 경""]","「1」여러 곳을 돌아다니며 사정을 살핌.
「2」경찰 공무원 계급의 하나. 경장의 아래이다.
"
순교-하다,"[""殉 따라 죽을 순"", ""敎 가르칠 교""]","모든 압박과 박해를 물리치고 자기가 믿는 신앙을 지키기 위하여 목숨을 바치다. 넓은 뜻으로는 주의나 사상을 위하여 죽는 일에도 쓴다.
"
순국-하다,"[""殉 따라 죽을 순"", ""國 나라 국""]","나라를 위하여 목숨을 바치다.
"
순방-하다,"[""巡 돌 순"", ""訪 찾을 방""]","나라나 도시 따위를 차례로 돌아가며 방문하다.
"
승승장구-하다,"[""乘 탈 승"", ""勝 이길 승"", ""長 길 장"", ""驅 말 몰 구""]","싸움에 이긴 형세를 타고 계속 몰아치다.
"
승진-하다,"[""昇 오를 승"", ""進 나아갈 진""]","직위의 등급이나 계급이 오르다.
"
시범,"[""示 보일 시"", ""範 법 범""]","모범을 보임.
"
시사-하다,"[""示 보일 시"", ""唆 부추길 사""]","어떤 것을 미리 간접적으로 표현해 주다.
"
시사-회,"[""試 시험할 시"", ""寫 베낄 사"", ""會 모일 회""]","영화나 광고 따위를 일반에게 공개하기 전에 시험적으로 상영하기 위하여 이루어지는 모임.
"
시상-하다,"[""施 베풀 시"", ""賞 상줄 상""]","상장이나 상품, 상금 따위를 주다.
"
신기-누설,"[""神 귀신 신"", ""機 틀 기"", ""漏 샐 루"", ""泄 샐 설""]","신묘한 계기(契機)나 기략(機略)을 누설함.
"
신령-스럽다,"[""神 귀신 신"", ""靈 신령 령""]","보기에 신기하고 영묘한 데가 있다.
"
신묘-하다,"[""神 귀신 신"", ""妙 묘할 묘""]","신통하고 묘하다.
"
신설-되다,"[""新 새 신"", ""設 베풀 설""]","새로 설치되거나 설비되다.
"
신-소재,"[""新 새 신"", ""素 바탕 소"", ""材 재목 재""]","종래의 재료에는 없는 뛰어난 특성을 지닌 소재를 통틀어 이르는 말.
"
신식,"[""新 새 신"", ""式 법 식""]","새로운 방식이나 형식.
"
실격,"[""失 잃을 실"", ""格 격식 격""]","「1」격식에 맞지 아니함.
「2」기준 미달이나 기준 초과, 규칙 위반 따위로 자격을 잃음.
"
실록,"[""實 열매 실"", ""錄 기록할 록""]","「1」사실을 있는 그대로 적은 기록.
「2」한 임금이 재위한 동안의 정령(政令)과 그 밖의 모든 사실을 적은 기록. 임금이 승하한 뒤, 실록청을 두고 시정기(時政記)를 거두어 연대순으로 정리한 것이다.
「3」사실에 공상을 섞어서 그럴듯하게 꾸민 이야기나 소설.
"
실무,"[""實 열매 실"", ""務 일 무""]","실제의 업무나 사무.
"
실소,"[""失 잃을 실"", ""笑 웃음 소""]","어처구니가 없어 저도 모르게 웃음이 툭 터져 나옴. 또는 그 웃음.
"
실신-하다,"[""失 잃을 실"", ""神 정신 신""]","병이나 충격 따위로 정신을 잃다.
"
실언-하다,"[""失 잃을 실"", ""言 말씀 언""]","실수로 잘못 말하다.
"
심층-적,"[""深 깊을 심"", ""層 층 층""]","[Ⅰ]깊숙한 부분까지 자세하게 파고드는 것.
[Ⅱ]깊숙한 부분까지 자세하게 파고드는.
"
아담-하다,"[""雅 맑을 아"", ""淡 맑을 담""]","「1」고상하면서 담백하다.
「2」적당히 자그마하다.
"
악착같-이,"[""齷 깨물 악"", ""齪 깨물 착""]","매우 모질고 끈덕지게.
"
악평,"[""惡 악할 악"", ""評 평할 평""]","나쁘게 평함. 또는 그런 평판이나 평가.
"
안건,"[""案 책상 안"", ""件 사건 건""]","토의하거나 조사하여야 할 사실.
"
압권,"[""壓 누를 압"", ""卷 책 권""]","「1」여러 책이나 작품 가운데 제일 잘된 책이나 작품. 고대 중국의 관리 등용 시험에서 가장 뛰어난 답안지를 다른 답안지 위에 얹어 놓았다는 데서 유래한다.
「2」하나의 책이나 작품 가운데 가장 잘된 부분.
「3」여럿 가운데 가장 뛰어난 것.
"
압도-되다,"[""壓 누를 압"", ""倒 넘어질 도""]","「1」눌려서 넘어지다.
「2」보다 뛰어난 힘이나 재주에 눌려 꼼짝 못 하게 되다.
"
앙심,"[""怏 원망할 앙"", ""心 마음 심""]","원한을 품고 앙갚음하려고 벼르는 마음.
"
애석-하다,"[""哀 슬플 애"", ""惜 아낄 석""]","슬프고 아깝다.
"
야산,"[""野 들 야"", ""山 뫼 산""]","들 가까이의 나지막한 산.
"
야생-화,"[""野 들 야"", ""生 날 생"", ""花 꽃 화""]","들에 피는 꽃.
"
야속-하다,"[""野 들 야"", ""俗 풍속 속""]","무정한 행동이나 그런 행동을 한 사람이 섭섭하게 여겨져 언짢다.
"
야영-하다,"[""野 들 야"", ""營 경영할 영""]","「1」군대가 일정한 지역에 임시로 주둔하면서 필요한 시설들을 갖추어 놓고 생활하다.
「2」휴양이나 훈련을 목적으로 야외에 천막을 쳐 놓고 생활하다.
"
양가,"[""兩 두 양"", ""家 집 가""]","양편의 집.
"
양가-감정,"[""兩 두 양"", ""價 값 가"", ""感 느낄 감"", ""情 뜻 정""]","논리적으로 서로 어긋나는 표상의 결합에서 오는 혼란스러운 감정. 어떤 대상, 사람, 생각 따위에 대하여 동시에 대조적인 감정을 지니거나, 감정이 이랬다저랬다 하는 따위이다.
"
어눌-하다,"[""語 말씀 어"", ""訥 말 더듬거릴 눌""]","말을 유창하게 하지 못하고 떠듬떠듬하는 면이 있다.
"
어불성설,"[""語 말씀 어"", ""不 아닐 불"", ""成 이룰 성"", ""說 말씀 설""]","말이 조금도 사리에 맞지 아니함.
"
엄금-하다,"[""嚴 엄할 엄"", ""禁 금할 금""]","엄하게 금지하다.
"
여담,"[""餘 남을 여"", ""談 말씀 담""]","이야기하는 과정에서 본 줄거리와 관계없이 흥미로 하는 딴 이야기.
"
여독,"[""旅 나그네 려"", ""毒 독 독""]","여행으로 말미암아 생긴 피로나 병.
"
연고,"[""緣 인연 연"", ""故 연고 고""]","「1」일의 까닭.
「2」혈통, 정분, 법률 따위로 맺어진 관계.
「3」사람들 사이에 맺어지는 관계.
"
연소,"[""延 끌 연"", ""燒 불사를 소""]","한 곳에서 일어난 불이 이웃으로 번져서 탐.
"
연수,"[""練 익힐 련"", ""修 닦을 수""]","인격, 기술, 학문 따위를 닦아서 단련함.
"
연체-되다,"[""延 끌 연"", ""滯 막힐 체""]","「1」정한 기한에 약속이 지켜지지 못하고 지체되다.
「2」기한 안에 이행되어야 할 채무나 납세 따위가 지체되다.
"
연출-하다,"[""演 펼 연"", ""出 날 출""]","「1」연극이나 방송극 따위에서, 각본을 바탕으로 배우의 연기, 무대 장치, 의상, 조명, 분장 따위의 여러 부분을 종합적으로 지도하여 작품을 완성하다.
「2」규모가 큰 식(式)이나 집회 따위를 총지휘하여 효과적으로 진행하다.
「3」어떤 상황이나 상태를 만들어 내다.
"
연패-하다,"[""連 잇닿을 연"", ""敗 패할 패""]","싸움이나 경기에서 계속하여 지다.
"
연패-하다,"[""連 잇닿을 연"", ""霸 으뜸 패""]","운동 경기 따위에서 연달아 우승하다.
"
연합-군,"[""聯 연이을 련"", ""合 합할 합"", ""軍 군사 군""]","「1」전쟁에서 둘 혹은 둘 이상의 국가가 연합하여 구성한 군대.
「2」연합국의 군대.
"
연행-되다,"[""連 잇닿을 연"", ""行 다닐 행""]","「1」이끌려 가다.
「2」강제로 이끌려 가다. 특히 경찰관에게 피의자가 체포되어 경찰서로 이끌려 가는 일을 이른다.
"
열렬-히,"[""熱 더울 열"", ""烈 세찰 렬""]","어떤 것에 대한 애정이나 태도가 매우 맹렬하게.
"
예찬-하다,"[""禮 예도 례"", ""讚 기릴 찬""]","「1」무엇이 훌륭하거나 좋거나 아름답다고 찬양하다.
「2」삼보(三寶)를 예배하고 그 공덕을 찬탄하다.
"
예행-하다,"[""豫 미리 예"", ""行 다닐 행""]","연습으로 미리 행하다.
"
오도-하다,"[""誤 그르칠 오"", ""導 인도할 도""]","그릇된 길로 이끌다.
"
오리무중,"[""五 다섯 오"", ""里 마을 리"", ""霧 안개 무"", ""中 가운데 중""]","오 리나 되는 짙은 안개 속에 있다는 뜻으로, 무슨 일에 대하여 방향이나 갈피를 잡을 수 없음을 이르는 말. ≪후한서≫의 <장해전(張楷傳)>에 나오는 말이다.
"
와해-되다,"[""瓦 기와 와"", ""解 풀 해""]","조직이나 계획 따위가 산산이 무너지고 흩어지게 되다. 기와가 깨진다는 뜻에서 나온 말이다.
"
완결-되다,"[""完 완전할 완"", ""結 맺을 결""]","완전하게 끝이 맺어지다.
"
완공-되다,"[""完 완전할 완"", ""工 장인 공""]","공사가 완성되다.
"
완납-하다,"[""完 완전할 완"", ""納 바칠 납""]","남김없이 완전히 납부하다.
"
외교^기관,"[""外 바깥 외"", ""交 사귈 교"", ""機 틀 기"", ""關 관계할 관""]","국가의 외교 임무를 맡은 기관.
"
외주,"[""外 바깥 외"", ""注 부을 주""]","자기 회사에서 만들 수 없는 제품이나 부품 따위를 다른 회사에 맡겨 만들게 함. 또는 그런 일.
"
요망,"[""妖 요망할 요"", ""妄 망령될 망""]","「1」간사하고 영악함.
「2」언행이 방정맞고 경솔함.
"
요새,"[""要 구할 요"", ""塞 막힐 색""]","「1」군사적으로 중요한 곳에 튼튼하게 만들어 놓은 방어 시설. 또는 그런 시설을 한 곳.
「2」차지하거나 달하기 어렵게 되어 있는 대상이나 목표.
"
요양,"[""療 병 고칠 료"", ""養 기를 양""]","휴양하면서 조리하여 병을 치료함.
"
우발-적,"[""偶 짝 우"", ""發 필 발"", ""的 과녁 적""]","[Ⅰ]어떤 일이 예기치 아니하게 우연히 일어나는 것.
[Ⅱ]어떤 일이 예기치 아니하게 우연히 일어나는.
"
우방,"[""友 벗 우"", ""邦 나라 방""]","서로 우호적인 관계를 맺고 있는 나라.
"
원근-감,"[""遠 멀 원"", ""近 가까울 근"", ""感 느낄 감""]","멀고 가까운 거리에 대한 느낌. 미술에서는 색채, 명암, 선 따위를 이용하여 원경, 중경, 근경의 느낌을 나타낸다.
"
원동-력,"[""原 언덕 원"", ""動 움직일 동"", ""力 힘 력""]","「1」어떤 움직임의 근본이 되는 힘.
「2」물체나 기계의 운동을 일으키는 근원적인 힘. 열, 수력, 풍력, 화력 따위가 있다.
"
원리-금,"[""元 으뜸 원"", ""利 이로울 리"", ""金 쇠 금""]","원금과 이자를 합친 돈.
"
원목,"[""原 언덕 원"", ""木 나무 목""]","베어 낸 그대로 아직 가공하지 아니한 나무.
"
월남-하다,"[""越 넘을 월"", ""南 남녘 남""]","「1」어떤 경계선을 지나 남쪽으로 넘다.
「2」북쪽에서 삼팔선이나 휴전선의 남쪽으로 넘어오다.
"
위법-하다,"[""違 어길 위"", ""法 법 법""]","법률이나 명령 따위를 어기다.
"
위신,"[""威 위엄 위"", ""信 믿을 신""]","위엄과 신망을 아울러 이르는 말.
"
유색^인종,"[""有 있을 유"", ""色 빛 색"", ""人 사람 인"", ""種 씨 종""]","황색, 동색, 흑색 따위의 유색 피부를 가진 모든 인종. 백색 인종을 제외한 모든 인종을 이르는 말이다.
"
유세-하다,"[""遊 놀 유"", ""說 말씀 설""]","자기 의견 또는 자기 소속 정당의 주장을 선전하며 돌아다니다.
"
유해^가스,"[""有 있을 유"", ""害 해로울 해""]","뚜렷한 독성은 없으나 농도에 따라서 위험이 따르는 가스. 이산화 탄소나 메탄 따위가 있다.
"
윤택-하다,"[""潤 불을 윤"", ""澤 못 택""]","「1」광택에 윤기가 있다.
「2」살림이 풍부하다.
"
윤허-하다,"[""允 허락할 윤"", ""許 허락할 허""]","임금이 신하의 청을 허락하다.
"
융기-하다,"[""隆 높을 륭"", ""起 일어날 기""]","「1」높게 일어나 들뜨다.
「2」땅이 기준면에 대하여 상대적으로 높아지다.
"
융통-하다,"[""融 녹을 융"", ""通 통할 통""]","「1」금전, 물품 따위를 돌려쓰다.
「2」그때그때의 사정과 형편을 보아 일을 처리하다.
「3」전력 계통에서 전력을 서로 돌려쓰다.
"
융해-되다,"[""融 녹을 융"", ""解 풀 해""]","「1」녹아 풀어지다.
「2」고체에 열을 가했을 때 액체로 되다.
"
은닉-하다,"[""隱 숨길 은"", ""匿 숨길 닉""]","「1」남의 물건이나 범죄인을 감추다.
「2」물건의 효용을 잃게 하다.
"
은둔-하다,"[""隱 숨길 은"", ""遁 숨을 둔""]","세상일을 피하여 숨다.
"
은밀-하다,"[""隱 숨길 은"", ""密 빽빽할 밀""]","숨어 있어서 겉으로 드러나지 아니하다.
"
은신-처,"[""隱 숨길 은"", ""身 몸 신"", ""處 곳 처""]","몸을 숨기는 곳.
"
은폐-하다,"[""隱 숨길 은"", ""蔽 덮을 폐""]","「1」덮어 감추거나 가리어 숨기다.
「2」적에게 관측되지 아니하도록 주변의 지형지물을 이용하여 인원이나 장비, 시설 따위를 숨기다.
"
음복-하다,"[""飮 마실 음"", ""福 복 복""]","제사를 지내고 난 뒤 제사에 쓴 음식을 나누어 먹다.
"
음영,"[""陰 그늘 음"", ""影 그림자 영""]","「1」어두운 부분.
「2」색조나 느낌 따위의 미묘한 차이에 의하여 드러나는 깊이와 정취.
"
음울-하다,"[""陰 그늘 음"", ""鬱 답답할 울""]","기분이나 분위기 따위가 음침하고 우울하다.
"
음흉-하다,"[""陰 그늘 음"", ""凶 흉할 흉""]","겉으로는 부드러워 보이나 속으로는 엉큼하고 흉악하다.
"
응낙-하다,"[""應 응할 응"", ""諾 대답할 낙""]","상대편의 요청에 응하여 승낙하다. 또는 상대편의 말을 들어주다.
"
일상-화,"[""日 날 일"", ""常 항상 상"", ""化 될 화""]","날마다 늘 있는 일이 됨. 또는 그렇게 만듦.
"
일생-일대,"[""一 한 일"", ""生 날 생"", ""一 한 일"", ""代 대신할 대""]","한 사람이 나서 죽을 때까지의 동안.
"
일-주년,"[""一 한 일"", ""周 두루 주"", ""年 해 년""]","첫 돌. 또는 꼭 한 해가 되는 날.
"
일체-화,"[""一 한 일"", ""體 몸 체"" 化 될 화]","떨어지지 아니하는 한 몸이나 한 덩어리로 됨. 또는 그렇게 만듦.
"
일축-하다,"[""一 한 일"", ""蹴 찰 축""]","[1]「1」제안이나 부탁 따위를 단번에 거절하거나 물리치다.
[1]「2」소문이나 의혹, 주장 따위를 단호하게 부인하거나 더 이상 거론하지 않다.
[2]운동 경기 따위에서 상대를 손쉽게 물리치다.
"
일취-월장,"[""日 날 일"", ""就 나아갈 취"", ""月 달 월"", ""將 장수 장""]","나날이 다달이 자라거나 발전함.
"
일편-단심,"[""一 한 일"", ""片 조각 편"", ""丹 붉을 단"", ""心 마음 심""]","한 조각의 붉은 마음이라는 뜻으로, 진심에서 우러나오는 변치 아니하는 마음을 이르는 말.
"
일품-요리,"[""一 한 일"", ""品 물건 품"", ""料 헤아릴 료"", ""理 다스릴 리""]","「1」각각의 요리마다 값을 매겨 놓고 손님의 주문에 따라 내는 요리.
「2」가장 맛이 뛰어난 요리.
「3」주식과 부식 따위의 한 끼 음식을 그릇에 담아 간편하게 먹을 수 있는 요리.
"
일화,"[""逸 편안할 일"", ""話 말씀 화""]","세상에 널리 알려지지 아니한 흥미 있는 이야기.
"
일희일비-하다,"[""一 한 일"", ""喜 기쁠 희"", ""一 한 일"", ""悲 슬플 비""]","[Ⅰ]한편으로는 기뻐하고 한편으로는 슬퍼하다. 또는 기쁨과 슬픔이 번갈아 일어나다.
[Ⅱ]한편으로는 기쁘고 한편으로는 슬프다.
"
임계-점,"[""臨 임할 림"", ""界 지경 계"", ""點 점 점""]","물질의 구조와 성질이 다른 상태로 바뀔 때의 온도와 압력. 평형 상태의 두 물질이 하나의 상(相)을 이룰 때나 두 액체가 완전히 일체화할 때의 온도와 압력을 이른다.
"
임기-응변,"[""臨 임할 림"", ""機 틀 기"", ""應 응할 응"", ""變 변할 변""]","그때그때 처한 사태에 맞추어 즉각 그 자리에서 결정하거나 처리함.
"
임상,"[""臨 임할 림"", ""牀 평상상""]","「1」환자를 진료하거나 의학을 연구하기 위하여 병상에 임하는 일.
「2」환자의 치료를 목적으로 하는 의학. 내과, 외과, 소아과, 산부인과 따위의 진료 과목이 있다.
"
임야,"[""林 수풀 림"", ""野 들 야""]","숲과 들을 아울러 이르는 말.
"
입주-하다,"[""入 들 입"", ""住 살 주""]","「1」새집에 들어가 살다.
「2」새로 개간한 땅이나 수복(收復)한 땅에 들어가 살다.
"
입회,"[""入 들 입"", ""會 모일회""]","어떤 모임에 들어가 회원이 됨.
"
잉여,"[""剩 남을 잉"", ""餘 남을 여""]","「1」쓰고 난 후 남은 것.
「2」‘나머지「4」’의 전 용어.
"
잉태-하다,"[""孕 아이 밸 잉"", ""胎 아이 밸 태""]","「1」아이나 새끼를 배다.
「2」어떤 사실이나 현상을 내부에서 생기고 자라나게 하다.
"
자각-하다,"[""自 스스로 자"", ""覺 깨달을 각""]","「1」현실을 판단하여 자기의 입장이나 능력 따위를 스스로 깨닫다.
「2」스스로 깨달아 각(覺)을 증득(證得)하다. 부처의 깨달음을 얻는 일을 이른다.
「3」자기가 품은 지식 내용의 진실성이나 자기가 진실한 것으로 생각한 언행에 대하여 그것이 참으로 진리성과 성실성이 있는가에 대하여 자기를 반성하다.
"
자간,"[""字 글자 자"", ""間 사이 간""]","쓰거나 인쇄한 글자와 글자 사이.
"
자격지심,"[""自 스스로 자"", ""激 부딪칠 격"", ""之 갈 지"", ""心 마음 심""]","자기가 한 일에 대하여 스스로 미흡하게 여기는 마음.
"
자괴-감,"[""自 스스로 자"", ""愧 부끄러워할 괴"", ""感 느낄 감""]","스스로 부끄러워하는 마음.
"
자금,"[""資 재물 자"", ""金 쇠 금""]","「1」사업을 경영하는 데에 쓰는 돈.
「2」특정한 목적에 쓰는 돈.
「3」회계상 기업에 투입된 경제 가치를 통틀어 이르는 말. 현금, 외상값, 상품, 건물 따위이다.
"
자생-력,"[""自 스스로 자"", ""生 날 생"", ""力 힘 력""]","스스로 살길을 찾아 살아 나가는 능력이나 힘.
"
자선-가,"[""慈 사랑 자"", ""善 착할 선"", ""家 집 가""]","남에게 은혜를 베풀어 도와주는 사람.
"
자술-서,"[""自 스스로 자"", ""述 펼 술"", ""書 글 서""]","어떤 사건에 관하여 피의자나 참고인이 자신이 행하거나 겪은 것을 진술한 글.
"
